"instruction","family","latency","throughput","uops","ports"
"PREFETCH_EXCLUSIVE (M512)","3DNOW_PREFETCH","","8.92","3",""
"PREFETCHW (M512)","3DNOW_PREFETCH","","0.50","1",""
"ADCX (R32, M32)","ADOX_ADCX","[1;6]","0.75","1",""
"ADCX (R32, R32)","ADOX_ADCX","[1;2]","0.75","1",""
"ADCX (R64, M64)","ADOX_ADCX","[1;6]","0.75","1",""
"ADCX (R64, R64)","ADOX_ADCX","[1;2]","0.75","1",""
"ADOX (R32, M32)","ADOX_ADCX","[1;6]","0.75","1",""
"ADOX (R32, R32)","ADOX_ADCX","[1;2]","0.75","1",""
"ADOX (R64, M64)","ADOX_ADCX","[1;6]","0.75","1",""
"ADOX (R64, R64)","ADOX_ADCX","[1;2]","0.75","1",""
"AESDEC (XMM, M128)","AES","[3;≤14]","0.50","1",""
"AESDEC (XMM, XMM)","AES","[3;4]","0.50","1",""
"AESDECLAST (XMM, M128)","AES","[3;≤14]","0.50","1",""
"AESDECLAST (XMM, XMM)","AES","[3;4]","0.50","1",""
"AESENC (XMM, M128)","AES","[3;≤14]","0.50","1",""
"AESENC (XMM, XMM)","AES","[3;4]","0.50","1",""
"AESENCLAST (XMM, M128)","AES","[3;≤14]","0.50","1",""
"AESENCLAST (XMM, XMM)","AES","[3;4]","0.50","1",""
"AESIMC (XMM, M128)","AES","[≤11;≤14]","0.50","1",""
"AESIMC (XMM, XMM)","AES","4","0.50","1",""
"AESKEYGENASSIST (XMM, M128, I8)","AES","[≤11;≤14]","0.50","1",""
"AESKEYGENASSIST (XMM, XMM, I8)","AES","4","0.50","1",""
"VADDPD (XMM, XMM, M128)","AVX","[6;≤12]","0.50","1",""
"VADDPD (XMM, XMM, XMM)","AVX","6","0.50","1",""
"VADDPD (YMM, YMM, M256)","AVX","[7;≤13]","1.00","2",""
"VADDPD (YMM, YMM, YMM)","AVX","7","1.00","2",""
"VADDPS (XMM, XMM, M128)","AVX","[6;≤12]","0.50","1",""
"VADDPS (XMM, XMM, XMM)","AVX","6","0.50","1",""
"VADDPS (YMM, YMM, M256)","AVX","[7;≤13]","1.00","2",""
"VADDPS (YMM, YMM, YMM)","AVX","7","1.00","2",""
"VADDSD (XMM, XMM, M64)","AVX","[6;≤12]","0.50","1",""
"VADDSD (XMM, XMM, XMM)","AVX","6","0.50","1",""
"VADDSS (XMM, XMM, M32)","AVX","[6;≤12]","0.50","1",""
"VADDSS (XMM, XMM, XMM)","AVX","6","0.50","1",""
"VADDSUBPD (XMM, XMM, M128)","AVX","[6;≤12]","0.50","1",""
"VADDSUBPD (XMM, XMM, XMM)","AVX","6","0.50","1",""
"VADDSUBPD (YMM, YMM, M256)","AVX","[7;≤13]","1.00","2",""
"VADDSUBPD (YMM, YMM, YMM)","AVX","7","1.00","2",""
"VADDSUBPS (XMM, XMM, M128)","AVX","[6;≤12]","0.50","1",""
"VADDSUBPS (XMM, XMM, XMM)","AVX","6","0.50","1",""
"VADDSUBPS (YMM, YMM, M256)","AVX","[7;≤13]","1.00","2",""
"VADDSUBPS (YMM, YMM, YMM)","AVX","7","1.00","2",""
"VANDNPD (XMM, XMM, M128)","AVX","[1;≤11]","0.50","1",""
"VANDNPD (XMM, XMM, XMM)","AVX","1","0.33","1",""
"VANDNPD (YMM, YMM, M256)","AVX","[2;≤11]","1.00","2",""
"VANDNPD (YMM, YMM, YMM)","AVX","2","0.67","2",""
"VANDNPS (XMM, XMM, M128)","AVX","[1;≤11]","0.50","1",""
"VANDNPS (XMM, XMM, XMM)","AVX","1","0.33","1",""
"VANDNPS (YMM, YMM, M256)","AVX","[2;≤11]","1.00","2",""
"VANDNPS (YMM, YMM, YMM)","AVX","2","0.67","2",""
"VANDPD (XMM, XMM, M128)","AVX","[1;≤11]","0.50","1",""
"VANDPD (XMM, XMM, XMM)","AVX","1","0.33","1",""
"VANDPD (YMM, YMM, M256)","AVX","[2;≤11]","1.00","2",""
"VANDPD (YMM, YMM, YMM)","AVX","2","0.67","2",""
"VANDPS (XMM, XMM, M128)","AVX","[1;≤11]","0.50","1",""
"VANDPS (XMM, XMM, XMM)","AVX","1","0.33","1",""
"VANDPS (YMM, YMM, M256)","AVX","[2;≤11]","1.00","2",""
"VANDPS (YMM, YMM, YMM)","AVX","2","0.67","2",""
"VBLENDPD (XMM, XMM, M128, I8)","AVX","[1;≤11]","0.50","1",""
"VBLENDPD (XMM, XMM, XMM, I8)","AVX","1","0.33","1",""
"VBLENDPD (YMM, YMM, M256, I8)","AVX","[2;≤11]","1.00","2",""
"VBLENDPD (YMM, YMM, YMM, I8)","AVX","2","0.67","2",""
"VBLENDPS (XMM, XMM, M128, I8)","AVX","[1;≤11]","0.50","1",""
"VBLENDPS (XMM, XMM, XMM, I8)","AVX","1","0.33","1",""
"VBLENDPS (YMM, YMM, M256, I8)","AVX","[2;≤11]","1.00","2",""
"VBLENDPS (YMM, YMM, YMM, I8)","AVX","2","0.67","2",""
"VBLENDVPD (XMM, XMM, M128, XMM)","AVX","[5;≤14]","3.17","4",""
"VBLENDVPD (XMM, XMM, XMM, XMM)","AVX","5","3.23","4",""
"VBLENDVPD (YMM, YMM, M256, YMM)","AVX","[7;≤14]","3.18","8",""
"VBLENDVPD (YMM, YMM, YMM, YMM)","AVX","[6;7]","3.86","8",""
"VBLENDVPS (XMM, XMM, M128, XMM)","AVX","[5;≤14]","3.17","4",""
"VBLENDVPS (XMM, XMM, XMM, XMM)","AVX","5","3.23","4",""
"VBLENDVPS (YMM, YMM, M256, YMM)","AVX","[7;≤14]","3.18","8",""
"VBLENDVPS (YMM, YMM, YMM, YMM)","AVX","[6;7]","3.86","8",""
"VBROADCASTF128 (YMM, M128)","AVX","[≤7;≤9]","0.50","2",""
"VBROADCASTSD (YMM, M64)","AVX","[≤7;≤9]","0.50","2",""
"VBROADCASTSS (XMM, M32)","AVX","[≤8;≤11]","0.50","1",""
"VBROADCASTSS (YMM, M32)","AVX","[≤7;≤9]","0.50","2",""
"VCMPPD (XMM, XMM, M128, I8)","AVX","[6;≤12]","0.50","1",""
"VCMPPD (XMM, XMM, XMM, I8)","AVX","6","0.50","1",""
"VCMPPD (YMM, YMM, M256, I8)","AVX","[7;≤13]","1.00","2",""
"VCMPPD (YMM, YMM, YMM, I8)","AVX","7","1.00","2",""
"VCMPPS (XMM, XMM, M128, I8)","AVX","[6;≤12]","0.50","1",""
"VCMPPS (XMM, XMM, XMM, I8)","AVX","6","0.50","1",""
"VCMPPS (YMM, YMM, M256, I8)","AVX","[7;≤13]","1.00","2",""
"VCMPPS (YMM, YMM, YMM, I8)","AVX","7","1.00","2",""
