"instruction","family","latency","throughput","uops","ports"
"PREFETCH_EXCLUSIVE (M512)","3DNOW_PREFETCH","","0.33 / 0.33","1 / 1","1*p23A"
"PREFETCHW (M512)","3DNOW_PREFETCH","","0.33 / 0.33","1 / 1","1*p23A"
"ADCX (R32, M32)","ADOX_ADCX","[1;6]","0.50 / 0.50","1 / 2","1*p06+1*p23A"
"ADCX (R32, R32)","ADOX_ADCX","1","0.50 / 0.50","1 / 1","1*p06"
"ADCX (R64, M64)","ADOX_ADCX","[1;6]","0.50 / 0.50","1 / 2","1*p06+1*p23A"
"ADCX (R64, R64)","ADOX_ADCX","1","0.50 / 0.50","1 / 1","1*p06"
"ADOX (R32, M32)","ADOX_ADCX","[1;6]","0.50 / 0.50","1 / 2","1*p06+1*p23A"
"ADOX (R32, R32)","ADOX_ADCX","1","0.50 / 0.50","1 / 1","1*p06"
"ADOX (R64, M64)","ADOX_ADCX","[1;6]","0.50 / 0.50","1 / 2","1*p06+1*p23A"
"ADOX (R64, R64)","ADOX_ADCX","1","0.50 / 0.50","1 / 1","1*p06"
"AESDEC (XMM, M128)","AES","[3;≤12]","0.50 / 0.50","2 / 2","1*p01+1*p23A"
"AESDEC (XMM, XMM)","AES","[3;5]","0.50 / 0.50","1 / 1","1*p01"
"AESDECLAST (XMM, M128)","AES","[3;≤12]","0.50 / 0.50","2 / 2","1*p01+1*p23A"
"AESDECLAST (XMM, XMM)","AES","[3;5]","0.50 / 0.50","1 / 1","1*p01"
"AESENC (XMM, M128)","AES","[3;≤12]","0.50 / 0.50","2 / 2","1*p01+1*p23A"
"AESENC (XMM, XMM)","AES","[3;5]","0.50 / 0.50","1 / 1","1*p01"
"AESENCLAST (XMM, M128)","AES","[3;≤12]","0.50 / 0.50","2 / 2","1*p01+1*p23A"
"AESENCLAST (XMM, XMM)","AES","[3;5]","0.50 / 0.50","1 / 1","1*p01"
"AESIMC (XMM, M128)","AES","[≤13;≤15]","1.00 / 1.00","3 / 3","2*p01+1*p23A"
"AESIMC (XMM, XMM)","AES","8","1.00 / 1.00","2 / 2","2*p01"
"AESKEYGENASSIST (XMM, M128, I8)","AES","[≤10;≤12]","4.00 / 12.91","15 / 14","4*p0+1*p01+2*p06+3*p15+1*p23A+3*p5"
"AESKEYGENASSIST (XMM, XMM, I8)","AES","7","4.00 / 12.94","15 / 14","4*p0+1*p01+1*p015+2*p06+3*p15+3*p5"
"VADDPD (XMM, XMM, M128)","AVX","[3;≤10]","0.50 / 0.50","1 / 2","1*p15+1*p23A"
"VADDPD (XMM, XMM, XMM)","AVX","3","0.50 / 0.50","1 / 1","1*p15"
"VADDPD (YMM, YMM, M256)","AVX","[3;≤11]","0.50 / 0.50","1 / 2","1*p15+1*p23A"
"VADDPD (YMM, YMM, YMM)","AVX","3","0.50 / 0.50","1 / 1","1*p15"
"VADDPS (XMM, XMM, M128)","AVX","[3;≤10]","0.50 / 0.50","1 / 2","1*p15+1*p23A"
"VADDPS (XMM, XMM, XMM)","AVX","3","0.50 / 0.50","1 / 1","1*p15"
"VADDPS (YMM, YMM, M256)","AVX","[3;≤11]","0.50 / 0.50","1 / 2","1*p15+1*p23A"
"VADDPS (YMM, YMM, YMM)","AVX","3","0.50 / 0.50","1 / 1","1*p15"
"VADDSD (XMM, XMM, M64)","AVX","[3;≤10]","0.50 / 0.50","1 / 2","1*p15+1*p23A"
"VADDSD (XMM, XMM, XMM)","AVX","3","0.50 / 0.50","1 / 1","1*p15"
"VADDSS (XMM, XMM, M32)","AVX","[3;≤10]","0.50 / 0.50","1 / 2","1*p15+1*p23A"
"VADDSS (XMM, XMM, XMM)","AVX","3","0.50 / 0.50","1 / 1","1*p15"
"VADDSUBPD (XMM, XMM, M128)","AVX","[3;≤10]","0.50 / 0.50","1 / 2","1*p15+1*p23A"
"VADDSUBPD (XMM, XMM, XMM)","AVX","3","0.50 / 0.50","1 / 1","1*p15"
"VADDSUBPD (YMM, YMM, M256)","AVX","[3;≤11]","0.50 / 0.50","1 / 2","1*p15+1*p23A"
"VADDSUBPD (YMM, YMM, YMM)","AVX","3","0.50 / 0.50","1 / 1","1*p15"
"VADDSUBPS (XMM, XMM, M128)","AVX","[3;≤10]","0.50 / 0.50","1 / 2","1*p15+1*p23A"
"VADDSUBPS (XMM, XMM, XMM)","AVX","3","0.50 / 0.50","1 / 1","1*p15"
"VADDSUBPS (YMM, YMM, M256)","AVX","[3;≤11]","0.50 / 0.50","1 / 2","1*p15+1*p23A"
"VADDSUBPS (YMM, YMM, YMM)","AVX","3","0.50 / 0.50","1 / 1","1*p15"
"VANDNPD (XMM, XMM, M128)","AVX","[1;≤8]","0.33 / 0.33","1 / 2","1*p015+1*p23A"
"VANDNPD (XMM, XMM, XMM)","AVX","1","0.33 / 0.33","1 / 1","1*p015"
"VANDNPD (YMM, YMM, M256)","AVX","[1;≤9]","0.33 / 0.40","1 / 2","1*p015+1*p23A"
"VANDNPD (YMM, YMM, YMM)","AVX","1","0.33 / 0.33","1 / 1","1*p015"
"VANDNPS (XMM, XMM, M128)","AVX","[1;≤8]","0.33 / 0.33","1 / 2","1*p015+1*p23A"
"VANDNPS (XMM, XMM, XMM)","AVX","1","0.33 / 0.33","1 / 1","1*p015"
"VANDNPS (YMM, YMM, M256)","AVX","[1;≤9]","0.33 / 0.40","1 / 2","1*p015+1*p23A"
"VANDNPS (YMM, YMM, YMM)","AVX","1","0.33 / 0.33","1 / 1","1*p015"
"VANDPD (XMM, XMM, M128)","AVX","[1;≤8]","0.33 / 0.33","1 / 2","1*p015+1*p23A"
"VANDPD (XMM, XMM, XMM)","AVX","1","0.33 / 0.33","1 / 1","1*p015"
"VANDPD (YMM, YMM, M256)","AVX","[1;≤9]","0.33 / 0.40","1 / 2","1*p015+1*p23A"
"VANDPD (YMM, YMM, YMM)","AVX","1","0.33 / 0.33","1 / 1","1*p015"
"VANDPS (XMM, XMM, M128)","AVX","[1;≤8]","0.33 / 0.33","1 / 2","1*p015+1*p23A"
"VANDPS (XMM, XMM, XMM)","AVX","1","0.33 / 0.33","1 / 1","1*p015"
"VANDPS (YMM, YMM, M256)","AVX","[1;≤9]","0.33 / 0.40","1 / 2","1*p015+1*p23A"
"VANDPS (YMM, YMM, YMM)","AVX","1","0.33 / 0.33","1 / 1","1*p015"
"VBLENDPD (XMM, XMM, M128, I8)","AVX","[1;≤8]","0.33 / 0.33","2 / 2","1*p015+1*p23A"
"VBLENDPD (XMM, XMM, XMM, I8)","AVX","1","0.33 / 0.33","1 / 1","1*p015"
"VBLENDPD (YMM, YMM, M256, I8)","AVX","[1;≤9]","0.33 / 0.40","2 / 2","1*p015+1*p23A"
"VBLENDPD (YMM, YMM, YMM, I8)","AVX","1","0.33 / 0.33","1 / 1","1*p015"
"VBLENDPS (XMM, XMM, M128, I8)","AVX","[1;≤8]","0.33 / 0.33","2 / 2","1*p015+1*p23A"
"VBLENDPS (XMM, XMM, XMM, I8)","AVX","1","0.33 / 0.33","1 / 1","1*p015"
"VBLENDPS (YMM, YMM, M256, I8)","AVX","[1;≤9]","0.33 / 0.40","2 / 2","1*p015+1*p23A"
"VBLENDPS (YMM, YMM, YMM, I8)","AVX","1","0.33 / 0.33","1 / 1","1*p015"
"VBLENDVPD (XMM, XMM, M128, XMM)","AVX","[2;≤9]","1.00 / 1.00","4 / 4","3*p015+1*p23A"
"VBLENDVPD (XMM, XMM, XMM, XMM)","AVX","[2;3]","1.00 / 1.00","3 / 3","3*p015"
"VBLENDVPD (YMM, YMM, M256, YMM)","AVX","[2;≤10]","1.00 / 1.00","4 / 4","3*p015+1*p23A"
"VBLENDVPD (YMM, YMM, YMM, YMM)","AVX","[2;3]","1.00 / 1.00","3 / 3","3*p015"
"VBLENDVPS (XMM, XMM, M128, XMM)","AVX","[2;≤9]","1.00 / 1.00","4 / 4","3*p015+1*p23A"
"VBLENDVPS (XMM, XMM, XMM, XMM)","AVX","[2;3]","1.00 / 1.00","3 / 3","3*p015"
"VBLENDVPS (YMM, YMM, M256, YMM)","AVX","[2;≤10]","1.00 / 1.00","4 / 4","3*p015+1*p23A"
"VBLENDVPS (YMM, YMM, YMM, YMM)","AVX","[2;3]","1.00 / 1.00","3 / 3","3*p015"
"VBROADCASTF128 (YMM, M128)","AVX","[≤5;≤8]","0.33 / 0.33","1 / 1","1*p23A"
"VBROADCASTSD (YMM, M64)","AVX","[≤5;≤8]","0.33 / 0.33","1 / 1","1*p23A"
