"instruction","family","latency","throughput","uops","ports"
"PREFETCH_EXCLUSIVE (M512)","3DNOW_PREFETCH","","0.50 / 0.50","1 / 1","1*p23"
"PREFETCHW (M512)","3DNOW_PREFETCH","","0.50 / 0.50","1 / 1","1*p23"
"ADCX (R32, M32)","ADOX_ADCX","[1;6]","0.50 / 0.57","1 / 2","1*p06+1*p23"
"ADCX (R32, R32)","ADOX_ADCX","1","0.50 / 0.53","1 / 1","1*p06"
"ADCX (R64, M64)","ADOX_ADCX","[1;6]","0.50 / 0.57","1 / 2","1*p06+1*p23"
"ADCX (R64, R64)","ADOX_ADCX","1","0.50 / 0.53","1 / 1","1*p06"
"ADOX (R32, M32)","ADOX_ADCX","[1;6]","0.50 / 0.57","1 / 2","1*p06+1*p23"
"ADOX (R32, R32)","ADOX_ADCX","1","0.50 / 0.53","1 / 1","1*p06"
"ADOX (R64, M64)","ADOX_ADCX","[1;6]","0.50 / 0.57","1 / 2","1*p06+1*p23"
"ADOX (R64, R64)","ADOX_ADCX","1","0.50 / 0.53","1 / 1","1*p06"
"AESDEC (XMM, M128)","AES","[4;≤11]","0.50 / 0.53","2 / 2","1*p01+1*p23"
"AESDEC (XMM, XMM)","AES","4","0.50 / 0.50","1 / 1","1*p01"
"AESDECLAST (XMM, M128)","AES","[4;≤11]","0.50 / 0.53","2 / 2","1*p01+1*p23"
"AESDECLAST (XMM, XMM)","AES","4","0.50 / 0.50","1 / 1","1*p01"
"AESENC (XMM, M128)","AES","[4;≤11]","0.50 / 0.53","2 / 2","1*p01+1*p23"
"AESENC (XMM, XMM)","AES","4","0.50 / 0.50","1 / 1","1*p01"
"AESENCLAST (XMM, M128)","AES","[4;≤11]","0.50 / 0.53","2 / 2","1*p01+1*p23"
"AESENCLAST (XMM, XMM)","AES","4","0.50 / 0.50","1 / 1","1*p01"
"AESIMC (XMM, M128)","AES","[≤13;≤16]","1.00 / 1.00","3 / 3","2*p01+1*p23"
"AESIMC (XMM, XMM)","AES","9","1.00 / 1.00","2 / 2","2*p01"
"AESKEYGENASSIST (XMM, M128, I8)","AES","[≤9;≤12]","6.00 / 12.00","13 / 13","4*p0+1*p01+1*p06+1*p23+6*p5"
