"Instruction","","Lat","TP","Uops","Ports"
"PREFETCH_EXCLUSIVE (M512)","3DNOW_PREFETCH","","6.00","2",""
"PREFETCHW (M512)","3DNOW_PREFETCH","","1.00","1",""
"AESDEC (XMM, M128)","AES","[4;≤12]","1.00","1",""
"AESDEC (XMM, XMM)","AES","4","1.00","1",""
"AESDECLAST (XMM, M128)","AES","[4;≤12]","1.00","1",""
"AESDECLAST (XMM, XMM)","AES","4","1.00","1",""
"AESENC (XMM, M128)","AES","[4;≤12]","1.00","1",""
"AESENC (XMM, XMM)","AES","4","1.00","1",""
"AESENCLAST (XMM, M128)","AES","[4;≤12]","1.00","1",""
"AESENCLAST (XMM, XMM)","AES","4","1.00","1",""
"AESIMC (XMM, M128)","AES","[≤9;≤12]","1.00","1",""
"AESIMC (XMM, XMM)","AES","4","1.00","1",""
"AESKEYGENASSIST (XMM, M128, I8)","AES","[≤9;≤12]","1.00","1",""
"AESKEYGENASSIST (XMM, XMM, I8)","AES","4","1.00","1",""
"ADC (AL, 0)","BASE","[1;2]","1.00","1",""
"ADC (AL, I8)","BASE","[1;2]","1.00","1",""
"ADC (AX, I16)","BASE","[1;2]","1.00","1",""
"ADC (EAX, I32)","BASE","[1;2]","1.00","1",""
"ADC (M16, 0)","BASE","[2;≤10]","1.00","1",""
"ADC (M16, I16)","BASE","[2;≤10]","1.00","1",""
"ADC (M16, I8)","BASE","[2;≤10]","1.00","1",""
"ADC (M16, R16)","BASE","[1;≤10]","1.00","1",""
"ADC (M32, 0)","BASE","[2;≤9]","1.00","1",""
"ADC (M32, I32)","BASE","[2;≤9]","1.00","1",""
"ADC (M32, I8)","BASE","[2;≤9]","1.00","1",""
"ADC (M32, R32)","BASE","[1;≤9]","1.00","1",""
"ADC (M64, 0)","BASE","[2;≤9]","1.00","1",""
"ADC (M64, I32)","BASE","[2;≤9]","1.00","1",""
"ADC (M64, I8)","BASE","[2;≤9]","1.00","1",""
"ADC (M64, R64)","BASE","[1;≤9]","1.00","1",""
"ADC (M8, 0)","BASE","[2;≤10]","1.00","1",""
"ADC (M8, I8)","BASE","[2;≤10]","1.00","1",""
"ADC (M8, R8h)","BASE","[2;≤10]","1.00","1",""
"ADC (M8, R8l)","BASE","[1;≤10]","1.00","1",""
"ADC (R16, 0)","BASE","[1;2]","1.00","1",""
"ADC (R16, I16)","BASE","[1;2]","1.00","1",""
"ADC (R16, I8)","BASE","[1;2]","1.00","1",""
"ADC (R16, M16)","BASE","[1;≤6]","1.00","1",""
"ADC (R32, 0)","BASE","[1;2]","1.00","1",""
"ADC (R32, I32)","BASE","[1;2]","1.00","1",""
"ADC (R32, I8)","BASE","[1;2]","1.00","1",""
"ADC (R32, M32)","BASE","[1;≤6]","1.00","1",""
"ADC (R64, 0)","BASE","[1;2]","1.00","1",""
"ADC (R64, I32)","BASE","[1;2]","1.00","1",""
"ADC (R64, I8)","BASE","[1;2]","1.00","1",""
"ADC (R64, M64)","BASE","[1;≤6]","1.00","1",""
"ADC (R8h, 0)","BASE","[1;2]","1.00","1",""
"ADC (R8h, I8)","BASE","[1;2]","1.00","1",""
"ADC (R8h, M8)","BASE","[1;≤6]","1.00","1",""
"ADC (R8l, M8)","BASE","[1;≤6]","1.00","1",""
"ADC (RAX, I32)","BASE","[1;2]","1.00","1",""
"ADC_10 (R8h, R8h)","BASE","[1;≤3]","1.00","1",""
"ADC_10 (R8h, R8l)","BASE","[1;2]","1.00","1",""
"ADC_10 (R8l, R8h)","BASE","[1;≤3]","1.00","1",""
"ADC_10 (R8l, R8l)","BASE","[1;2]","1.00","1",""
"ADC_11 (R16, R16)","BASE","[1;2]","1.00","1",""
"ADC_11 (R32, R32)","BASE","[1;2]","1.00","1",""
"ADC_11 (R64, R64)","BASE","[1;2]","1.00","1",""
"ADC_12 (R8h, R8h)","BASE","[1;≤3]","1.00","1",""
"ADC_12 (R8h, R8l)","BASE","[1;2]","1.00","1",""
"ADC_12 (R8l, R8h)","BASE","[1;≤3]","1.00","1",""
"ADC_12 (R8l, R8l)","BASE","[1;2]","1.00","1",""
"ADC_13 (R16, R16)","BASE","[1;2]","1.00","1",""
"ADC_13 (R32, R32)","BASE","[1;2]","1.00","1",""
"ADC_13 (R64, R64)","BASE","[1;2]","1.00","1",""
"ADC_LOCK (M16, 0)","BASE","[11;≤16]","14.00","1",""
"ADC_LOCK (M16, I16)","BASE","[11;≤16]","14.00","1",""
"ADC_LOCK (M16, I8)","BASE","[11;≤16]","14.00","1",""
"ADC_LOCK (M16, R16)","BASE","[11;≤16]","14.00","1",""
"ADC_LOCK (M32, 0)","BASE","[11;≤16]","14.00","1",""
"ADC_LOCK (M32, I32)","BASE","[11;≤16]","14.00","1",""
"ADC_LOCK (M32, I8)","BASE","[11;≤16]","14.00","1",""
"ADC_LOCK (M32, R32)","BASE","[11;≤16]","14.00","1",""
"ADC_LOCK (M64, 0)","BASE","[11;≤16]","14.00","1",""
"ADC_LOCK (M64, I32)","BASE","[11;≤16]","14.00","1",""
"ADC_LOCK (M64, I8)","BASE","[11;≤16]","14.00","1",""
"ADC_LOCK (M64, R64)","BASE","[11;≤16]","14.00","1",""
"ADC_LOCK (M8, 0)","BASE","[11;≤16]","14.00","1",""
"ADC_LOCK (M8, I8)","BASE","[11;≤16]","14.00","1",""
"ADC_LOCK (M8, R8h)","BASE","[11;≤16]","14.00","1",""
"ADC_LOCK (M8, R8l)","BASE","[11;≤16]","14.00","1",""
"ADC_R0 (R8l, 0)","BASE","[1;2]","1.00","1",""
"ADC_R0 (R8l, I8)","BASE","[1;2]","1.00","1",""
"ADC_R4 (R8l, 0)","BASE","[1;2]","1.00","1",""
"ADC_R4 (R8l, I8)","BASE","[1;2]","1.00","1",""
"ADD (AL, 0)","BASE","1","0.67","1",""
"ADD (AL, I8)","BASE","1","0.67","1",""
"ADD (AX, I16)","BASE","1","0.67","1",""
"ADD (EAX, I32)","BASE","1","0.67","1",""
"ADD (M16, 0)","BASE","[4;≤9]","1.00","1",""
"ADD (M16, I16)","BASE","[4;≤9]","1.00","1",""
"ADD (M16, I8)","BASE","[4;≤9]","1.00","1",""
"ADD (M16, R16)","BASE","[1;≤9]","1.00","1",""
"ADD (M32, 0)","BASE","[4;≤8]","1.00","1",""
"ADD (M32, I32)","BASE","[4;≤8]","1.00","1",""
"ADD (M32, I8)","BASE","[4;≤8]","1.00","1",""
"ADD (M32, R32)","BASE","[1;≤8]","1.00","1",""
"ADD (M64, 0)","BASE","[4;≤8]","1.00","1",""
"ADD (M64, I32)","BASE","[4;≤8]","1.00","1",""
"ADD (M64, I8)","BASE","[4;≤8]","1.00","1",""
"ADD (M64, R64)","BASE","[1;≤8]","1.00","1",""
"ADD (M8, 0)","BASE","[4;≤9]","1.00","1",""
"ADD (M8, I8)","BASE","[4;≤9]","1.00","1",""
"ADD (M8, R8h)","BASE","[≤3;≤10]","1.00","1",""
"ADD (M8, R8l)","BASE","[1;≤9]","1.00","1",""
"ADD (R16, 0)","BASE","1","0.33","1",""
"ADD (R16, I16)","BASE","1","0.35","1",""
"ADD (R16, I8)","BASE","1","0.33","1",""
"ADD (R16, M16)","BASE","[1;≤5]","1.00","1",""
"ADD (R32, 0)","BASE","1","0.33","1",""
"ADD (R32, I32)","BASE","1","0.44","1",""
"ADD (R32, I8)","BASE","1","0.33","1",""
"ADD (R32, M32)","BASE","[1;≤5]","1.00","1",""
"ADD (R64, 0)","BASE","1","0.33","1",""
"ADD (R64, I32)","BASE","1","0.50","1",""
"ADD (R64, I8)","BASE","1","0.33","1",""
"ADD (R64, M64)","BASE","[1;≤5]","1.00","1",""
"ADD (R8h, 0)","BASE","[2;≤3]","1.00","1",""
"ADD (R8h, I8)","BASE","[2;≤3]","1.00","1",""
"ADD (R8h, M8)","BASE","[2;≤6]","1.00","1",""
"ADD (R8l, M8)","BASE","[1;≤5]","1.00","1",""
"ADD (RAX, I32)","BASE","1","0.67","1",""
"ADD_00 (R8h, R8h)","BASE","[1;≤2]","1.00","1",""
"ADD_00 (R8h, R8l)","BASE","[2;≤3]","1.00","1",""
"ADD_00 (R8l, R8h)","BASE","[2;≤3]","1.00","1",""
"ADD_00 (R8l, R8l)","BASE","1","0.33","1",""
"ADD_01 (R16, R16)","BASE","1","0.33","1",""
"ADD_01 (R32, R32)","BASE","1","0.33","1",""
"ADD_01 (R64, R64)","BASE","1","0.33","1",""
"ADD_02 (R8h, R8h)","BASE","[1;≤2]","1.00","1",""
"ADD_02 (R8h, R8l)","BASE","[2;≤3]","1.00","1",""
"ADD_02 (R8l, R8h)","BASE","[2;≤3]","1.00","1",""
"ADD_02 (R8l, R8l)","BASE","1","0.33","1",""
"ADD_03 (R16, R16)","BASE","1","0.33","1",""
"ADD_03 (R32, R32)","BASE","1","0.33","1",""
"ADD_03 (R64, R64)","BASE","1","0.33","1",""
"ADD_LOCK (M16, 0)","BASE","[≤10;13]","14.00","1",""
"ADD_LOCK (M16, I16)","BASE","[≤10;13]","14.00","1",""
"ADD_LOCK (M16, I8)","BASE","[≤10;13]","14.00","1",""
"ADD_LOCK (M16, R16)","BASE","[≤10;≤14]","14.00","1",""
"ADD_LOCK (M32, 0)","BASE","[≤9;13]","14.00","1",""
"ADD_LOCK (M32, I32)","BASE","[≤9;13]","14.00","1",""
"ADD_LOCK (M32, I8)","BASE","[≤9;13]","14.00","1",""
"ADD_LOCK (M32, R32)","BASE","[≤9;13]","14.00","1",""
"ADD_LOCK (M64, 0)","BASE","[≤9;13]","14.00","1",""
"ADD_LOCK (M64, I32)","BASE","[≤9;13]","14.00","1",""
"ADD_LOCK (M64, I8)","BASE","[≤9;13]","14.00","1",""
"ADD_LOCK (M64, R64)","BASE","[≤9;13]","14.00","1",""
"ADD_LOCK (M8, 0)","BASE","[≤10;13]","14.00","1",""
"ADD_LOCK (M8, I8)","BASE","[≤10;13]","14.00","1",""
"ADD_LOCK (M8, R8h)","BASE","[≤11;≤15]","14.00","1",""
"ADD_LOCK (M8, R8l)","BASE","[≤10;≤14]","14.00","1",""
"ADD_R0 (R8l, 0)","BASE","1","0.33","1",""
"ADD_R0 (R8l, I8)","BASE","1","0.33","1",""
"ADD_R4 (R8l, 0)","BASE","1","0.33","1",""
"ADD_R4 (R8l, I8)","BASE","1","0.33","1",""
"AND (AL, 0)","BASE","1","0.67","1",""
"AND (AL, I8)","BASE","1","0.67","1",""
"AND (AX, I16)","BASE","1","0.67","1",""
"AND (EAX, I32)","BASE","1","0.67","1",""
"AND (M16, 0)","BASE","[4;≤9]","1.00","1",""
"AND (M16, I16)","BASE","[4;≤9]","1.00","1",""
"AND (M16, I8)","BASE","[4;≤9]","1.00","1",""
"AND (M16, R16)","BASE","[1;≤9]","1.00","1",""
"AND (M32, 0)","BASE","[4;≤8]","1.00","1",""
"AND (M32, I32)","BASE","[4;≤8]","1.00","1",""
"AND (M32, I8)","BASE","[4;≤8]","1.00","1",""
"AND (M32, R32)","BASE","[1;≤8]","1.00","1",""
"AND (M64, 0)","BASE","[4;≤8]","1.00","1",""
"AND (M64, I32)","BASE","[4;≤8]","1.00","1",""
"AND (M64, I8)","BASE","[4;≤8]","1.00","1",""
"AND (M64, R64)","BASE","[1;≤8]","1.00","1",""
"AND (M8, 0)","BASE","[4;≤9]","1.00","1",""
"AND (M8, I8)","BASE","[4;≤9]","1.00","1",""
"AND (M8, R8h)","BASE","[≤3;≤10]","1.00","1",""
"AND (M8, R8l)","BASE","[1;≤9]","1.00","1",""
"AND (R16, 0)","BASE","1","0.33","1",""
"AND (R16, I16)","BASE","1","0.35","1",""
"AND (R16, I8)","BASE","1","0.33","1",""
"AND (R16, M16)","BASE","[1;≤5]","1.00","1",""
"AND (R32, 0)","BASE","1","0.33","1",""
"AND (R32, I32)","BASE","1","0.44","1",""
"AND (R32, I8)","BASE","1","0.33","1",""
"AND (R32, M32)","BASE","[1;≤5]","1.00","1",""
"AND (R64, 0)","BASE","1","0.33","1",""
"AND (R64, I32)","BASE","1","0.50","1",""
"AND (R64, I8)","BASE","1","0.33","1",""
"AND (R64, M64)","BASE","[1;≤5]","1.00","1",""
"AND (R8h, 0)","BASE","[2;≤3]","1.00","1",""
"AND (R8h, I8)","BASE","[2;≤3]","1.00","1",""
"AND (R8h, M8)","BASE","[2;≤6]","1.00","1",""
"AND (R8l, M8)","BASE","[1;≤5]","1.00","1",""
"AND (RAX, I32)","BASE","1","0.67","1",""
"AND_20 (R8h, R8h)","BASE","[1;≤2]","1.00","1",""
"AND_20 (R8h, R8l)","BASE","[2;≤3]","1.00","1",""
"AND_20 (R8l, R8h)","BASE","[2;≤3]","1.00","1",""
"AND_20 (R8l, R8l)","BASE","1","0.33","1",""
"AND_21 (R16, R16)","BASE","1","0.33","1",""
"AND_21 (R32, R32)","BASE","1","0.33","1",""
"AND_21 (R64, R64)","BASE","1","0.33","1",""
"AND_22 (R8h, R8h)","BASE","[1;≤2]","1.00","1",""
"AND_22 (R8h, R8l)","BASE","[2;≤3]","1.00","1",""
"AND_22 (R8l, R8h)","BASE","[2;≤3]","1.00","1",""
"AND_22 (R8l, R8l)","BASE","1","0.33","1",""
"AND_23 (R16, R16)","BASE","1","0.33","1",""
"AND_23 (R32, R32)","BASE","1","0.33","1",""
"AND_23 (R64, R64)","BASE","1","0.33","1",""
"AND_LOCK (M16, 0)","BASE","[≤10;13]","14.00","1",""
"AND_LOCK (M16, I16)","BASE","[≤10;13]","14.00","1",""
"AND_LOCK (M16, I8)","BASE","[≤10;13]","14.00","1",""
"AND_LOCK (M16, R16)","BASE","[≤10;≤14]","14.00","1",""
"AND_LOCK (M32, 0)","BASE","[≤9;13]","14.00","1",""
"AND_LOCK (M32, I32)","BASE","[≤9;13]","14.00","1",""
"AND_LOCK (M32, I8)","BASE","[≤9;13]","14.00","1",""
"AND_LOCK (M32, R32)","BASE","[≤9;13]","14.00","1",""
"AND_LOCK (M64, 0)","BASE","[≤9;13]","14.00","1",""
"AND_LOCK (M64, I32)","BASE","[≤9;13]","14.00","1",""
"AND_LOCK (M64, I8)","BASE","[≤9;13]","14.00","1",""
"AND_LOCK (M64, R64)","BASE","[≤9;13]","14.00","1",""
"AND_LOCK (M8, 0)","BASE","[≤10;13]","14.00","1",""
"AND_LOCK (M8, I8)","BASE","[≤10;13]","14.00","1",""
"AND_LOCK (M8, R8h)","BASE","[≤11;≤15]","14.00","1",""
"AND_LOCK (M8, R8l)","BASE","[≤10;≤14]","14.00","1",""
"AND_R0 (R8l, 0)","BASE","1","0.33","1",""
"AND_R0 (R8l, I8)","BASE","1","0.33","1",""
"AND_R4 (R8l, 0)","BASE","1","0.33","1",""
"AND_R4 (R8l, I8)","BASE","1","0.33","1",""
"BSF (R16, M16)","BASE","[7;12]","10.00","11",""
"BSF (R16, R16)","BASE","[6;11]","8.00","11",""
"BSF (R32, M32)","BASE","[7;12]","10.00","11",""
"BSF (R32, R32)","BASE","[7;10]","8.00","11",""
"BSF (R64, M64)","BASE","[7;12]","10.00","11",""
"BSF (R64, R64)","BASE","[7;10]","8.00","11",""
"BSR (R16, M16)","BASE","[7;12]","10.00","11",""
"BSR (R16, R16)","BASE","[6;11]","8.00","11",""
"BSR (R32, M32)","BASE","[7;12]","10.00","11",""
"BSR (R32, R32)","BASE","[7;10]","8.00","11",""
"BSR (R64, M64)","BASE","[7;12]","10.00","11",""
"BSR (R64, R64)","BASE","[7;10]","8.00","11",""
"BSWAP (R32)","BASE","1","1.00","1",""
"BSWAP (R64)","BASE","1","1.00","1",""
"BT (M16, 0)","BASE","[5;≤6]","1.00","1",""
"BT (M16, I8)","BASE","[5;≤6]","1.00","1",""
"BT (M16, R16)","BASE","[≤7;8]","9.00","8",""
"BT (M32, 0)","BASE","[5;≤6]","1.00","1",""
"BT (M32, I8)","BASE","[5;≤6]","1.00","1",""
"BT (M32, R32)","BASE","[≤7;8]","9.00","8",""
"BT (M64, 0)","BASE","[5;≤6]","1.00","1",""
"BT (M64, I8)","BASE","[5;≤6]","1.00","1",""
"BT (M64, R64)","BASE","[≤7;8]","9.00","8",""
"BT (R16, 0)","BASE","2","1.00","1",""
"BT (R16, I8)","BASE","2","1.00","1",""
"BT (R16, R16)","BASE","2","1.00","1",""
"BT (R32, 0)","BASE","2","1.00","1",""
"BT (R32, I8)","BASE","2","1.00","1",""
"BT (R32, R32)","BASE","2","1.00","1",""
"BT (R64, 0)","BASE","2","1.00","1",""
"BT (R64, I8)","BASE","2","1.00","1",""
"BT (R64, R64)","BASE","2","1.00","1",""
"BTC (M16, 0)","BASE","[5;≤9]","1.00","1",""
"BTC (M16, I8)","BASE","[5;≤9]","1.00","1",""
"BTC (M16, R16)","BASE","[≤7;≤36]","7.00","9",""
"BTC (M32, 0)","BASE","[5;≤8]","1.00","1",""
"BTC (M32, I8)","BASE","[5;≤8]","1.00","1",""
"BTC (M32, R32)","BASE","[≤7;≤35]","7.00","9",""
"BTC (M64, 0)","BASE","[5;≤8]","1.00","1",""
"BTC (M64, I8)","BASE","[5;≤8]","1.00","1",""
"BTC (M64, R64)","BASE","[≤7;≤35]","7.00","9",""
"BTC (R16, 0)","BASE","[1;2]","1.00","1",""
"BTC (R16, I8)","BASE","[1;2]","1.00","1",""
"BTC (R16, R16)","BASE","[1;2]","1.00","1",""
"BTC (R32, 0)","BASE","[1;2]","1.00","1",""
"BTC (R32, I8)","BASE","[1;2]","1.00","1",""
"BTC (R32, R32)","BASE","[1;2]","1.00","1",""
"BTC (R64, 0)","BASE","[1;2]","1.00","1",""
"BTC (R64, I8)","BASE","[1;2]","1.00","1",""
"BTC (R64, R64)","BASE","[1;2]","1.00","1",""
"BTC_LOCK (M16, 0)","BASE","[≤10;14]","14.00","1",""
"BTC_LOCK (M16, I8)","BASE","[≤10;14]","14.00","1",""
"BTC_LOCK (M16, R16)","BASE","[≤15;≤45]","14.70","9",""
"BTC_LOCK (M32, 0)","BASE","[≤9;14]","14.00","1",""
"BTC_LOCK (M32, I8)","BASE","[≤9;14]","14.00","1",""
"BTC_LOCK (M32, R32)","BASE","[≤15;≤44]","14.70","9",""
"BTC_LOCK (M64, 0)","BASE","[≤9;14]","14.00","1",""
"BTC_LOCK (M64, I8)","BASE","[≤9;14]","14.00","1",""
"BTC_LOCK (M64, R64)","BASE","[≤15;≤44]","14.70","9",""
"BTR (M16, 0)","BASE","[5;≤9]","1.00","1",""
"BTR (M16, I8)","BASE","[5;≤9]","1.00","1",""
"BTR (M16, R16)","BASE","[≤7;≤36]","7.00","9",""
"BTR (M32, 0)","BASE","[5;≤8]","1.00","1",""
"BTR (M32, I8)","BASE","[5;≤8]","1.00","1",""
"BTR (M32, R32)","BASE","[≤7;≤35]","7.00","9",""
"BTR (M64, 0)","BASE","[5;≤8]","1.00","1",""
"BTR (M64, I8)","BASE","[5;≤8]","1.00","1",""
"BTR (M64, R64)","BASE","[≤7;≤35]","7.00","9",""
"BTR (R16, 0)","BASE","[1;2]","1.00","1",""
"BTR (R16, I8)","BASE","[1;2]","1.00","1",""
"BTR (R16, R16)","BASE","[1;2]","1.00","1",""
"BTR (R32, 0)","BASE","[1;2]","1.00","1",""
"BTR (R32, I8)","BASE","[1;2]","1.00","1",""
"BTR (R32, R32)","BASE","[1;2]","1.00","1",""
"BTR (R64, 0)","BASE","[1;2]","1.00","1",""
"BTR (R64, I8)","BASE","[1;2]","1.00","1",""
"BTR (R64, R64)","BASE","[1;2]","1.00","1",""
"BTR_LOCK (M16, 0)","BASE","[≤10;14]","14.00","1",""
"BTR_LOCK (M16, I8)","BASE","[≤10;14]","14.00","1",""
"BTR_LOCK (M16, R16)","BASE","[≤15;≤45]","14.70","9",""
"BTR_LOCK (M32, 0)","BASE","[≤9;14]","14.00","1",""
"BTR_LOCK (M32, I8)","BASE","[≤9;14]","14.00","1",""
"BTR_LOCK (M32, R32)","BASE","[≤15;≤44]","14.70","9",""
"BTR_LOCK (M64, 0)","BASE","[≤9;14]","14.00","1",""
"BTR_LOCK (M64, I8)","BASE","[≤9;14]","14.00","1",""
"BTR_LOCK (M64, R64)","BASE","[≤15;≤44]","14.70","9",""
"BTS (M16, 0)","BASE","[5;≤9]","1.00","1",""
"BTS (M16, I8)","BASE","[5;≤9]","1.00","1",""
"BTS (M16, R16)","BASE","[≤7;≤36]","7.00","9",""
"BTS (M32, 0)","BASE","[5;≤8]","1.00","1",""
"BTS (M32, I8)","BASE","[5;≤8]","1.00","1",""
"BTS (M32, R32)","BASE","[≤7;≤35]","7.00","9",""
"BTS (M64, 0)","BASE","[5;≤8]","1.00","1",""
"BTS (M64, I8)","BASE","[5;≤8]","1.00","1",""
"BTS (M64, R64)","BASE","[≤7;≤35]","7.00","9",""
"BTS (R16, 0)","BASE","[1;2]","1.00","1",""
"BTS (R16, I8)","BASE","[1;2]","1.00","1",""
"BTS (R16, R16)","BASE","[1;2]","1.00","1",""
"BTS (R32, 0)","BASE","[1;2]","1.00","1",""
"BTS (R32, I8)","BASE","[1;2]","1.00","1",""
"BTS (R32, R32)","BASE","[1;2]","1.00","1",""
"BTS (R64, 0)","BASE","[1;2]","1.00","1",""
"BTS (R64, I8)","BASE","[1;2]","1.00","1",""
"BTS (R64, R64)","BASE","[1;2]","1.00","1",""
"BTS_LOCK (M16, 0)","BASE","[≤10;14]","14.00","1",""
"BTS_LOCK (M16, I8)","BASE","[≤10;14]","14.00","1",""
"BTS_LOCK (M16, R16)","BASE","[≤15;≤45]","14.70","9",""
"BTS_LOCK (M32, 0)","BASE","[≤9;14]","14.00","1",""
"BTS_LOCK (M32, I8)","BASE","[≤9;14]","14.00","1",""
"BTS_LOCK (M32, R32)","BASE","[≤15;≤44]","14.70","9",""
"BTS_LOCK (M64, 0)","BASE","[≤9;14]","14.00","1",""
"BTS_LOCK (M64, I8)","BASE","[≤9;14]","14.00","1",""
"BTS_LOCK (M64, R64)","BASE","[≤15;≤44]","14.70","9",""
"CALL_NEAR (M64)","BASE","","6.00","3",""
"CALL_NEAR (R64)","BASE","","3.17","1",""
"CALL_NEAR (Rel32)","BASE","","4.70","1",""
"CBW","BASE","2","4.00","2",""
"CDQ","BASE","1","1.00","1",""
"CLC","BASE","","1.00","1",""
"CLD","BASE","","7.00","3",""
"CLI","BASE","","7.00","8",""
"CLTS","BASE","","51.75","13",""
"CMC","BASE","1","1.00","1",""
"CMOVB (R16, M16)","BASE","[1;≤6]","1.00","1",""
